2.3	6.88E-02	2.06E-05
2.4	6.95E-02	2.09E-05
2.5	7.06E-02	2.12E-05
2.6	7.15E-02	2.15E-05
2.7	7.23E-02	2.17E-05
2.8	7.31E-02	2.19E-05
2.9	7.41E-02	2.22E-05
3	7.50E-02	2.25E-05
3.1	7.57E-02	2.27E-05
3.2	7.66E-02	2.30E-05
3.3	7.75E-02	2.33E-05
3.4	7.83E-02	2.35E-05
3.5	7.89E-02	1.58E-05
3.6	7.97E-02	1.59E-05
3.7	8.06E-02	1.61E-05
3.8	8.15E-02	1.63E-05
3.9	8.26E-02	1.65E-05
4	8.39E-02	1.68E-05
4.1	8.46E-02	1.69E-05
4.2	8.49E-02	1.70E-05
4.3	8.53E-02	1.71E-05
4.4	8.60E-02	1.72E-05
4.5	8.76E-02	1.75E-05
4.6	9.00E-02	1.80E-05
4.7	9.16E-02	1.83E-05
4.8	9.09E-02	1.82E-05
4.9	8.83E-02	1.77E-05
5	8.55E-02	1.71E-05
5.1	8.31E-02	1.66E-05
5.2	8.12E-02	1.62E-05
5.3	7.96E-02	1.59E-05
5.4	7.82E-02	1.56E-05
5.5	7.70E-02	1.54E-05
5.6	7.59E-02	1.52E-05
5.7	7.50E-02	1.50E-05
5.8	7.41E-02	1.48E-05
5.9	7.33E-02	1.47E-05
6	7.25E-02	1.45E-05
6.1	7.18E-02	1.44E-05
6.2	7.12E-02	1.42E-05
6.3	7.06E-02	1.41E-05
6.4	7.00E-02	1.40E-05
6.5	6.95E-02	1.39E-05
6.6	6.89E-02	1.38E-05
6.7	6.84E-02	1.37E-05
6.8	6.80E-02	1.36E-05
6.9	6.75E-02	1.35E-05
7	6.70E-02	1.34E-05
7.1	6.65E-02	1.33E-05
7.2	6.61E-02	1.32E-05
7.3	6.57E-02	1.31E-05
7.4	6.53E-02	1.31E-05
7.5	6.49E-02	1.30E-05
7.6	6.46E-02	1.29E-05
7.7	6.42E-02	1.28E-05
7.8	6.38E-02	1.28E-05
7.9	6.35E-02	1.27E-05
8	6.32E-02	1.26E-05
8.1	6.29E-02	1.26E-05
8.2	6.25E-02	1.25E-05
8.3	6.22E-02	1.24E-05
8.4	6.19E-02	1.24E-05
8.5	6.16E-02	1.23E-05
8.6	6.13E-02	1.23E-05
8.7	6.10E-02	1.22E-05
8.8	6.07E-02	1.21E-05
8.9	6.04E-02	1.21E-05
9	6.01E-02	1.20E-05
9.1	5.98E-02	1.20E-05
9.2	5.95E-02	1.19E-05
9.3	5.92E-02	1.18E-05
9.4	5.89E-02	1.18E-05
9.5	5.86E-02	1.17E-05
9.6	5.83E-02	1.17E-05
9.7	5.80E-02	1.16E-05
9.8	5.77E-02	1.15E-05
9.9	5.74E-02	1.15E-05
10	5.71E-02	1.14E-05
10.1	5.67E-02	1.13E-05
10.2	5.62E-02	1.12E-05
